date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-05,MHN Cambridge,1,6,1,2020,1,train,,,,
2020-01-10,MHN Cambridge,1,4,1,2020,0,train,,,,
2020-01-18,MHN Cambridge,1,5,1,2020,1,train,,,,
2020-01-20,MHN Cambridge,1,0,1,2020,0,train,,,,
2020-01-24,MHN Cambridge,1,4,1,2020,0,train,,,,
2020-01-25,MHN Cambridge,1,5,1,2020,1,train,,,,
2020-01-28,MHN Cambridge,1,1,1,2020,0,train,,,,
2020-01-31,MHN Cambridge,1,4,1,2020,0,train,,,,
2020-02-02,MHN Cambridge,1,6,2,2020,1,train,,,,
2020-02-04,MHN Cambridge,2,1,2,2020,0,train,,,,
2020-02-10,MHN Cambridge,1,0,2,2020,0,train,,,,
2020-02-14,MHN Cambridge,2,4,2,2020,0,train,,,,
2020-02-16,MHN Cambridge,1,6,2,2020,1,train,,,,
2020-02-19,MHN Cambridge,2,2,2,2020,0,train,,,,
2020-02-21,MHN Cambridge,1,4,2,2020,0,train,,,,
2020-02-23,MHN Cambridge,1,6,2,2020,1,train,,,,
2020-03-03,MHN Cambridge,2,1,3,2020,0,train,,,,
2020-03-05,MHN Cambridge,1,3,3,2020,0,train,,,,
2020-03-08,MHN Cambridge,2,6,3,2020,1,train,,,,
2020-03-12,MHN Cambridge,1,3,3,2020,0,train,,,,
2020-03-14,MHN Cambridge,1,5,3,2020,1,train,,,,
2020-03-19,MHN Cambridge,2,3,3,2020,0,train,,,,
2020-03-20,MHN Cambridge,1,4,3,2020,0,train,,,,
2020-03-21,MHN Cambridge,1,5,3,2020,1,train,,,,
2020-03-23,MHN Cambridge,1,0,3,2020,0,train,,,,
2020-03-28,MHN Cambridge,1,5,3,2020,1,train,,,,
2020-03-29,MHN Cambridge,1,6,3,2020,1,train,,,,
2020-03-30,MHN Cambridge,1,0,3,2020,0,train,,,,
2020-04-01,MHN Cambridge,1,2,4,2020,0,train,,,,
2020-04-02,MHN Cambridge,1,3,4,2020,0,train,,,,
2020-04-05,MHN Cambridge,1,6,4,2020,1,train,,,,
2020-04-12,MHN Cambridge,1,6,4,2020,1,train,,,,
2020-04-13,MHN Cambridge,1,0,4,2020,0,train,,,,
2020-04-18,MHN Cambridge,1,5,4,2020,1,train,,,,
2020-04-19,MHN Cambridge,1,6,4,2020,1,train,,,,
