date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-01,MHN Dorchester,1,2,1,2020,0,train,,,,
2020-01-03,MHN Dorchester,1,4,1,2020,0,train,,,,
2020-01-06,MHN Dorchester,1,0,1,2020,0,train,,,,
2020-01-07,MHN Dorchester,1,1,1,2020,0,train,,,,
2020-01-11,MHN Dorchester,1,5,1,2020,1,train,,,,
2020-01-12,MHN Dorchester,1,6,1,2020,1,train,,,,
2020-01-15,MHN Dorchester,1,2,1,2020,0,train,,,,
2020-01-18,MHN Dorchester,1,5,1,2020,1,train,,,,
2020-01-21,MHN Dorchester,2,1,1,2020,0,train,,,,
2020-01-25,MHN Dorchester,1,5,1,2020,1,train,,,,
2020-01-26,MHN Dorchester,1,6,1,2020,1,train,,,,
2020-01-27,MHN Dorchester,1,0,1,2020,0,train,,,,
2020-01-31,MHN Dorchester,3,4,1,2020,0,train,,,,
2020-02-03,MHN Dorchester,1,0,2,2020,0,train,,,,
2020-02-13,MHN Dorchester,1,3,2,2020,0,train,,,,
2020-02-14,MHN Dorchester,1,4,2,2020,0,train,,,,
2020-02-17,MHN Dorchester,2,0,2,2020,0,train,,,,
2020-02-18,MHN Dorchester,4,1,2,2020,0,train,,,,
2020-02-19,MHN Dorchester,1,2,2,2020,0,train,,,,
2020-02-24,MHN Dorchester,1,0,2,2020,0,train,,,,
2020-02-27,MHN Dorchester,1,3,2,2020,0,train,,,,
2020-02-29,MHN Dorchester,1,5,2,2020,1,train,,,,
2020-03-05,MHN Dorchester,1,3,3,2020,0,train,,,,
2020-03-06,MHN Dorchester,1,4,3,2020,0,train,,,,
2020-03-08,MHN Dorchester,1,6,3,2020,1,train,,,,
2020-03-13,MHN Dorchester,2,4,3,2020,0,train,,,,
2020-03-14,MHN Dorchester,1,5,3,2020,1,train,,,,
2020-03-15,MHN Dorchester,1,6,3,2020,1,train,,,,
2020-03-16,MHN Dorchester,1,0,3,2020,0,train,,,,
2020-03-20,MHN Dorchester,2,4,3,2020,0,train,,,,
2020-03-22,MHN Dorchester,1,6,3,2020,1,train,,,,
2020-03-23,MHN Dorchester,3,0,3,2020,0,train,,,,
2020-03-25,MHN Dorchester,1,2,3,2020,0,train,,,,
2020-03-26,MHN Dorchester,1,3,3,2020,0,train,,,,
2020-03-29,MHN Dorchester,2,6,3,2020,1,train,,,,
2020-04-02,MHN Dorchester,1,3,4,2020,0,train,,,,
2020-04-03,MHN Dorchester,1,4,4,2020,0,train,,,,
2020-04-09,MHN Dorchester,1,3,4,2020,0,train,,,,
2020-04-10,MHN Dorchester,1,4,4,2020,0,train,,,,
2020-04-14,MHN Dorchester,1,1,4,2020,0,train,,,,
2020-04-18,MHN Dorchester,1,5,4,2020,1,train,,,,
2020-04-19,MHN Dorchester,1,6,4,2020,1,train,,,,
2020-04-23,MHN Dorchester,3,3,4,2020,0,train,,,,
2020-04-25,MHN Dorchester,1,5,4,2020,1,train,,,,
2020-04-28,MHN Dorchester,1,1,4,2020,0,train,,,,
2020-04-29,MHN Dorchester,1,2,4,2020,0,train,,,,
2020-05-01,MHN Dorchester,2,4,5,2020,0,train,,,,
2020-05-02,MHN Dorchester,1,5,5,2020,1,train,,,,
2020-05-03,MHN Dorchester,1,6,5,2020,1,train,,,,
2020-05-06,MHN Dorchester,1,2,5,2020,0,train,,,,
2020-05-07,MHN Dorchester,3,3,5,2020,0,train,,,,
2020-05-08,MHN Dorchester,1,4,5,2020,0,train,,,,
2020-05-10,MHN Dorchester,1,6,5,2020,1,train,,,,
2020-05-12,MHN Dorchester,1,1,5,2020,0,train,,,,
2020-05-14,MHN Dorchester,2,3,5,2020,0,train,,,,
2020-05-17,MHN Dorchester,3,6,5,2020,1,train,,,,
2020-05-20,MHN Dorchester,1,2,5,2020,0,train,,,,
2020-05-21,MHN Dorchester,2,3,5,2020,0,train,,,,
2020-05-24,MHN Dorchester,1,6,5,2020,1,train,,,,
2020-05-26,MHN Dorchester,2,1,5,2020,0,train,,,,
2020-05-27,MHN Dorchester,1,2,5,2020,0,train,,,,
