date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-02,MHN Fenway,1,3,1,2020,0,train,,,,
2020-01-04,MHN Fenway,2,5,1,2020,1,train,,,,
2020-01-07,MHN Fenway,1,1,1,2020,0,train,,,,
2020-01-09,MHN Fenway,1,3,1,2020,0,train,,,,
2020-01-13,MHN Fenway,1,0,1,2020,0,train,,,,
2020-01-15,MHN Fenway,1,2,1,2020,0,train,,,,
2020-01-17,MHN Fenway,1,4,1,2020,0,train,,,,
2020-01-20,MHN Fenway,1,0,1,2020,0,train,,,,
2020-01-21,MHN Fenway,1,1,1,2020,0,train,,,,
2020-01-22,MHN Fenway,1,2,1,2020,0,train,,,,
2020-01-30,MHN Fenway,1,3,1,2020,0,train,,,,
2020-02-03,MHN Fenway,2,0,2,2020,0,train,,,,
2020-02-11,MHN Fenway,2,1,2,2020,0,train,,,,
2020-02-15,MHN Fenway,1,5,2,2020,1,train,,,,
2020-02-16,MHN Fenway,1,6,2,2020,1,train,,,,
2020-02-19,MHN Fenway,2,2,2,2020,0,train,,,,
2020-02-20,MHN Fenway,1,3,2,2020,0,train,,,,
2020-02-21,MHN Fenway,1,4,2,2020,0,train,,,,
2020-02-25,MHN Fenway,2,1,2,2020,0,train,,,,
2020-02-27,MHN Fenway,1,3,2,2020,0,train,,,,
2020-02-28,MHN Fenway,1,4,2,2020,0,train,,,,
2020-02-29,MHN Fenway,2,5,2,2020,1,train,,,,
2020-03-01,MHN Fenway,1,6,3,2020,1,train,,,,
2020-03-03,MHN Fenway,2,1,3,2020,0,train,,,,
2020-03-09,MHN Fenway,1,0,3,2020,0,train,,,,
2020-03-17,MHN Fenway,1,1,3,2020,0,train,,,,
2020-03-26,MHN Fenway,2,3,3,2020,0,train,,,,
2020-03-27,MHN Fenway,1,4,3,2020,0,train,,,,
2020-04-02,MHN Fenway,1,3,4,2020,0,train,,,,
2020-04-08,MHN Fenway,1,2,4,2020,0,train,,,,
2020-04-09,MHN Fenway,1,3,4,2020,0,train,,,,
2020-04-23,MHN Fenway,1,3,4,2020,0,train,,,,
2020-04-26,MHN Fenway,1,6,4,2020,1,train,,,,
2020-04-27,MHN Fenway,1,0,4,2020,0,train,,,,
2020-04-30,MHN Fenway,1,3,4,2020,0,train,,,,
2020-05-04,MHN Fenway,2,0,5,2020,0,train,,,,
2020-05-07,MHN Fenway,1,3,5,2020,0,train,,,,
2020-05-11,MHN Fenway,1,0,5,2020,0,train,,,,
2020-05-13,MHN Fenway,1,2,5,2020,0,train,,,,
2020-05-25,MHN Fenway,1,0,5,2020,0,train,,,,
