date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-03,MHN Quincy,1,4,1,2020,0,train,,,,
2020-01-04,MHN Quincy,1,5,1,2020,1,train,,,,
2020-01-10,MHN Quincy,1,4,1,2020,0,train,,,,
2020-01-11,MHN Quincy,2,5,1,2020,1,train,,,,
2020-01-12,MHN Quincy,1,6,1,2020,1,train,,,,
2020-01-13,MHN Quincy,1,0,1,2020,0,train,,,,
2020-01-14,MHN Quincy,1,1,1,2020,0,train,,,,
2020-01-19,MHN Quincy,1,6,1,2020,1,train,,,,
2020-01-21,MHN Quincy,1,1,1,2020,0,train,,,,
2020-01-23,MHN Quincy,1,3,1,2020,0,train,,,,
2020-01-29,MHN Quincy,1,2,1,2020,0,train,,,,
2020-02-07,MHN Quincy,1,4,2,2020,0,train,,,,
2020-02-09,MHN Quincy,1,6,2,2020,1,train,,,,
2020-02-16,MHN Quincy,1,6,2,2020,1,train,,,,
2020-02-19,MHN Quincy,1,2,2,2020,0,train,,,,
2020-02-24,MHN Quincy,1,0,2,2020,0,train,,,,
2020-02-25,MHN Quincy,1,1,2,2020,0,train,,,,
2020-03-08,MHN Quincy,1,6,3,2020,1,train,,,,
2020-03-12,MHN Quincy,2,3,3,2020,0,train,,,,
2020-03-13,MHN Quincy,1,4,3,2020,0,train,,,,
2020-03-15,MHN Quincy,1,6,3,2020,1,train,,,,
2020-03-18,MHN Quincy,2,2,3,2020,0,train,,,,
2020-03-20,MHN Quincy,1,4,3,2020,0,train,,,,
2020-03-22,MHN Quincy,1,6,3,2020,1,train,,,,
2020-03-23,MHN Quincy,1,0,3,2020,0,train,,,,
2020-03-26,MHN Quincy,1,3,3,2020,0,train,,,,
2020-03-30,MHN Quincy,1,0,3,2020,0,train,,,,
2020-03-31,MHN Quincy,1,1,3,2020,0,train,,,,
2020-04-02,MHN Quincy,1,3,4,2020,0,train,,,,
2020-04-06,MHN Quincy,1,0,4,2020,0,train,,,,
2020-04-08,MHN Quincy,1,2,4,2020,0,train,,,,
2020-04-10,MHN Quincy,1,4,4,2020,0,train,,,,
2020-04-12,MHN Quincy,1,6,4,2020,1,train,,,,
2020-04-19,MHN Quincy,1,6,4,2020,1,train,,,,
2020-04-22,MHN Quincy,1,2,4,2020,0,train,,,,
2020-04-24,MHN Quincy,1,4,4,2020,0,train,,,,
2020-04-25,MHN Quincy,1,5,4,2020,1,train,,,,
2020-04-27,MHN Quincy,1,0,4,2020,0,train,,,,
2020-04-28,MHN Quincy,1,1,4,2020,0,train,,,,
2020-04-30,MHN Quincy,1,3,4,2020,0,train,,,,
2020-05-05,MHN Quincy,1,1,5,2020,0,train,,,,
2020-05-08,MHN Quincy,1,4,5,2020,0,train,,,,
2020-05-10,MHN Quincy,1,6,5,2020,1,train,,,,
2020-05-13,MHN Quincy,1,2,5,2020,0,train,,,,
2020-05-16,MHN Quincy,2,5,5,2020,1,train,,,,
2020-05-24,MHN Quincy,1,6,5,2020,1,train,,,,
2020-05-25,MHN Quincy,1,0,5,2020,0,train,,,,
2020-05-26,MHN Quincy,1,1,5,2020,0,train,,,,
2020-05-28,MHN Quincy,3,3,5,2020,0,train,,,,
2020-06-10,MHN Quincy,2,2,6,2020,0,train,,,,
2020-06-14,MHN Quincy,1,6,6,2020,1,train,,,,
2020-06-15,MHN Quincy,1,0,6,2020,0,train,,,,
2020-06-19,MHN Quincy,1,4,6,2020,0,train,,,,
2020-06-22,MHN Quincy,2,0,6,2020,0,train,,,,
2020-06-24,MHN Quincy,1,2,6,2020,0,train,,,,
2020-06-26,MHN Quincy,1,4,6,2020,0,train,,,,
