date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-08,MHN Roxbury Community,1,2,1,2020,0,train,,,,
2020-01-11,MHN Roxbury Community,2,5,1,2020,1,train,,,,
2020-01-14,MHN Roxbury Community,1,1,1,2020,0,train,,,,
2020-01-16,MHN Roxbury Community,2,3,1,2020,0,train,,,,
2020-01-18,MHN Roxbury Community,1,5,1,2020,1,train,,,,
2020-01-22,MHN Roxbury Community,1,2,1,2020,0,train,,,,
2020-01-25,MHN Roxbury Community,1,5,1,2020,1,train,,,,
2020-01-26,MHN Roxbury Community,1,6,1,2020,1,train,,,,
2020-01-31,MHN Roxbury Community,1,4,1,2020,0,train,,,,
2020-02-01,MHN Roxbury Community,1,5,2,2020,1,train,,,,
2020-02-06,MHN Roxbury Community,1,3,2,2020,0,train,,,,
2020-02-07,MHN Roxbury Community,1,4,2,2020,0,train,,,,
2020-02-08,MHN Roxbury Community,1,5,2,2020,1,train,,,,
2020-02-10,MHN Roxbury Community,3,0,2,2020,0,train,,,,
2020-02-13,MHN Roxbury Community,2,3,2,2020,0,train,,,,
2020-02-14,MHN Roxbury Community,1,4,2,2020,0,train,,,,
2020-02-15,MHN Roxbury Community,1,5,2,2020,1,train,,,,
2020-02-17,MHN Roxbury Community,1,0,2,2020,0,train,,,,
2020-02-18,MHN Roxbury Community,1,1,2,2020,0,train,,,,
2020-02-24,MHN Roxbury Community,1,0,2,2020,0,train,,,,
2020-02-26,MHN Roxbury Community,1,2,2,2020,0,train,,,,
2020-02-29,MHN Roxbury Community,1,5,2,2020,1,train,,,,
2020-03-03,MHN Roxbury Community,2,1,3,2020,0,train,,,,
2020-03-05,MHN Roxbury Community,2,3,3,2020,0,train,,,,
2020-03-06,MHN Roxbury Community,1,4,3,2020,0,train,,,,
2020-03-07,MHN Roxbury Community,2,5,3,2020,1,train,,,,
2020-03-09,MHN Roxbury Community,1,0,3,2020,0,train,,,,
2020-03-10,MHN Roxbury Community,1,1,3,2020,0,train,,,,
2020-03-16,MHN Roxbury Community,1,0,3,2020,0,train,,,,
2020-03-18,MHN Roxbury Community,1,2,3,2020,0,train,,,,
2020-03-23,MHN Roxbury Community,1,0,3,2020,0,train,,,,
2020-03-28,MHN Roxbury Community,3,5,3,2020,1,train,,,,
2020-03-29,MHN Roxbury Community,1,6,3,2020,1,train,,,,
2020-03-30,MHN Roxbury Community,1,0,3,2020,0,train,,,,
2020-04-13,MHN Roxbury Community,1,0,4,2020,0,train,,,,
2020-04-14,MHN Roxbury Community,1,1,4,2020,0,train,,,,
2020-04-22,MHN Roxbury Community,2,2,4,2020,0,train,,,,
2020-04-24,MHN Roxbury Community,2,4,4,2020,0,train,,,,
2020-04-30,MHN Roxbury Community,1,3,4,2020,0,train,,,,
2020-05-06,MHN Roxbury Community,1,2,5,2020,0,train,,,,
2020-05-10,MHN Roxbury Community,1,6,5,2020,1,train,,,,
2020-05-11,MHN Roxbury Community,2,0,5,2020,0,train,,,,
2020-05-13,MHN Roxbury Community,1,2,5,2020,0,train,,,,
2020-05-17,MHN Roxbury Community,1,6,5,2020,1,train,,,,
2020-05-20,MHN Roxbury Community,2,2,5,2020,0,train,,,,
2020-05-21,MHN Roxbury Community,1,3,5,2020,0,train,,,,
2020-05-22,MHN Roxbury Community,2,4,5,2020,0,train,,,,
2020-05-23,MHN Roxbury Community,1,5,5,2020,1,train,,,,
2020-06-04,MHN Roxbury Community,1,3,6,2020,0,train,,,,
2020-06-08,MHN Roxbury Community,2,0,6,2020,0,train,,,,
2020-06-11,MHN Roxbury Community,1,3,6,2020,0,train,,,,
2020-06-13,MHN Roxbury Community,1,5,6,2020,1,train,,,,
2020-06-20,MHN Roxbury Community,3,5,6,2020,1,train,,,,
2020-06-23,MHN Roxbury Community,1,1,6,2020,0,train,,,,
2020-06-24,MHN Roxbury Community,1,2,6,2020,0,train,,,,
2020-06-26,MHN Roxbury Community,1,4,6,2020,0,train,,,,
2020-06-27,MHN Roxbury Community,2,5,6,2020,1,train,,,,
2020-06-28,MHN Roxbury Community,2,6,6,2020,1,train,,,,
2020-06-29,MHN Roxbury Community,1,0,6,2020,0,train,,,,
2020-07-03,MHN Roxbury Community,1,4,7,2020,0,train,,,,
2020-07-05,MHN Roxbury Community,1,6,7,2020,1,train,,,,
2020-07-06,MHN Roxbury Community,2,0,7,2020,0,train,,,,
2020-07-11,MHN Roxbury Community,1,5,7,2020,1,train,,,,
2020-07-15,MHN Roxbury Community,1,2,7,2020,0,train,,,,
2020-07-18,MHN Roxbury Community,2,5,7,2020,1,train,,,,
2020-07-20,MHN Roxbury Community,1,0,7,2020,0,train,,,,
2020-07-22,MHN Roxbury Community,1,2,7,2020,0,train,,,,
2020-07-23,MHN Roxbury Community,1,3,7,2020,0,train,,,,
2020-07-24,MHN Roxbury Community,1,4,7,2020,0,train,,,,
2020-07-26,MHN Roxbury Community,1,6,7,2020,1,train,,,,
2020-07-27,MHN Roxbury Community,1,0,7,2020,0,train,,,,
2020-07-28,MHN Roxbury Community,1,1,7,2020,0,train,,,,
2020-08-03,MHN Roxbury Community,2,0,8,2020,0,train,,,,
2020-08-05,MHN Roxbury Community,2,2,8,2020,0,train,,,,
2020-08-06,MHN Roxbury Community,1,3,8,2020,0,train,,,,
2020-08-07,MHN Roxbury Community,1,4,8,2020,0,train,,,,
2020-08-08,MHN Roxbury Community,1,5,8,2020,1,train,,,,
2020-08-14,MHN Roxbury Community,1,4,8,2020,0,train,,,,
2020-08-15,MHN Roxbury Community,1,5,8,2020,1,train,,,,
2020-08-18,MHN Roxbury Community,1,1,8,2020,0,train,,,,
2020-08-19,MHN Roxbury Community,1,2,8,2020,0,train,,,,
2020-08-21,MHN Roxbury Community,2,4,8,2020,0,train,,,,
2020-08-23,MHN Roxbury Community,2,6,8,2020,1,train,,,,
2020-08-24,MHN Roxbury Community,1,0,8,2020,0,train,,,,
2020-08-26,MHN Roxbury Community,1,2,8,2020,0,train,,,,
2020-08-29,MHN Roxbury Community,1,5,8,2020,1,train,,,,
2020-09-03,MHN Roxbury Community,1,3,9,2020,0,train,,,,
2020-09-08,MHN Roxbury Community,1,1,9,2020,0,train,,,,
2020-09-19,MHN Roxbury Community,2,5,9,2020,1,train,,,,
2020-09-20,MHN Roxbury Community,1,6,9,2020,1,train,,,,
2020-09-24,MHN Roxbury Community,1,3,9,2020,0,train,,,,
2020-09-29,MHN Roxbury Community,1,1,9,2020,0,train,,,,
2020-10-02,MHN Roxbury Community,1,4,10,2020,0,train,,,,
2020-10-10,MHN Roxbury Community,1,5,10,2020,1,train,,,,
2020-10-11,MHN Roxbury Community,1,6,10,2020,1,train,,,,
2020-10-12,MHN Roxbury Community,1,0,10,2020,0,train,,,,
2020-10-13,MHN Roxbury Community,1,1,10,2020,0,train,,,,
2020-10-16,MHN Roxbury Community,1,4,10,2020,0,train,,,,
2020-10-18,MHN Roxbury Community,1,6,10,2020,1,train,,,,
2020-10-24,MHN Roxbury Community,1,5,10,2020,1,train,,,,
2020-10-25,MHN Roxbury Community,1,6,10,2020,1,train,,,,
2020-11-01,MHN Roxbury Community,1,6,11,2020,1,train,,,,
2020-11-06,MHN Roxbury Community,1,4,11,2020,0,train,,,,
2020-11-11,MHN Roxbury Community,1,2,11,2020,0,train,,,,
2020-11-18,MHN Roxbury Community,1,2,11,2020,0,train,,,,
2020-11-23,MHN Roxbury Community,1,0,11,2020,0,train,,,,
2020-11-25,MHN Roxbury Community,1,2,11,2020,0,train,,,,
2020-11-29,MHN Roxbury Community,1,6,11,2020,1,train,,,,
2020-11-30,MHN Roxbury Community,2,0,11,2020,0,train,,,,
2020-12-01,MHN Roxbury Community,1,1,12,2020,0,train,,,,
2020-12-07,MHN Roxbury Community,1,0,12,2020,0,train,,,,
2020-12-10,MHN Roxbury Community,1,3,12,2020,0,train,,,,
2020-12-16,MHN Roxbury Community,1,2,12,2020,0,train,,,,
2020-12-17,MHN Roxbury Community,1,3,12,2020,0,train,,,,
2020-12-19,MHN Roxbury Community,2,5,12,2020,1,train,,,,
2020-12-25,MHN Roxbury Community,1,4,12,2020,0,train,,,,
2020-12-28,MHN Roxbury Community,1,0,12,2020,0,train,,,,
2021-01-10,MHN Roxbury Community,1,6,1,2021,1,train,,,,
2021-01-14,MHN Roxbury Community,3,3,1,2021,0,train,,,,
2021-01-21,MHN Roxbury Community,1,3,1,2021,0,train,,,,
2021-01-26,MHN Roxbury Community,1,1,1,2021,0,train,,,,
2021-01-29,MHN Roxbury Community,1,4,1,2021,0,train,,,,
2021-01-30,MHN Roxbury Community,1,5,1,2021,1,train,,,,
2021-02-01,MHN Roxbury Community,1,0,2,2021,0,train,,,,
2021-02-02,MHN Roxbury Community,2,1,2,2021,0,train,,,,
2021-02-05,MHN Roxbury Community,1,4,2,2021,0,train,,,,
2021-02-09,MHN Roxbury Community,1,1,2,2021,0,train,,,,
2021-02-12,MHN Roxbury Community,1,4,2,2021,0,train,,,,
2021-02-18,MHN Roxbury Community,1,3,2,2021,0,train,,,,
2021-02-24,MHN Roxbury Community,2,2,2,2021,0,train,,,,
2021-02-27,MHN Roxbury Community,1,5,2,2021,1,train,,,,
2021-02-28,MHN Roxbury Community,1,6,2,2021,1,train,,,,
2021-03-01,MHN Roxbury Community,2,0,3,2021,0,train,,,,
2021-03-08,MHN Roxbury Community,1,0,3,2021,0,train,,,,
2021-03-09,MHN Roxbury Community,1,1,3,2021,0,train,,,,
2021-03-13,MHN Roxbury Community,4,5,3,2021,1,train,,,,
2021-03-18,MHN Roxbury Community,1,3,3,2021,0,train,,,,
2021-03-22,MHN Roxbury Community,1,0,3,2021,0,train,,,,
2021-03-23,MHN Roxbury Community,1,1,3,2021,0,train,,,,
2021-03-25,MHN Roxbury Community,1,3,3,2021,0,train,,,,
2021-03-27,MHN Roxbury Community,1,5,3,2021,1,train,,,,
2021-03-28,MHN Roxbury Community,1,6,3,2021,1,train,,,,
2021-03-29,MHN Roxbury Community,2,0,3,2021,0,train,,,,
2021-04-03,MHN Roxbury Community,1,5,4,2021,1,train,,,,
2021-04-09,MHN Roxbury Community,1,4,4,2021,0,train,,,,
2021-04-10,MHN Roxbury Community,1,5,4,2021,1,train,,,,
2021-04-12,MHN Roxbury Community,1,0,4,2021,0,train,,,,
2021-04-15,MHN Roxbury Community,1,3,4,2021,0,train,,,,
2021-04-23,MHN Roxbury Community,1,4,4,2021,0,train,,,,
2021-04-25,MHN Roxbury Community,2,6,4,2021,1,train,,,,
2021-04-27,MHN Roxbury Community,1,1,4,2021,0,train,,,,
2021-04-28,MHN Roxbury Community,1,2,4,2021,0,train,,,,
2021-04-29,MHN Roxbury Community,2,3,4,2021,0,train,,,,
2021-05-03,MHN Roxbury Community,1,0,5,2021,0,train,,,,
2021-05-06,MHN Roxbury Community,1,3,5,2021,0,train,,,,
2021-05-08,MHN Roxbury Community,1,5,5,2021,1,train,,,,
2021-05-10,MHN Roxbury Community,1,0,5,2021,0,train,,,,
2021-05-14,MHN Roxbury Community,1,4,5,2021,0,train,,,,
2021-05-17,MHN Roxbury Community,1,0,5,2021,0,train,,,,
2021-05-20,MHN Roxbury Community,1,3,5,2021,0,train,,,,
2021-05-22,MHN Roxbury Community,1,5,5,2021,1,train,,,,
2021-05-23,MHN Roxbury Community,1,6,5,2021,1,train,,,,
2021-05-29,MHN Roxbury Community,1,5,5,2021,1,train,,,,
2021-06-01,MHN Roxbury Community,1,1,6,2021,0,train,,,,
2021-06-03,MHN Roxbury Community,1,3,6,2021,0,train,,,,
2021-06-05,MHN Roxbury Community,1,5,6,2021,1,train,,,,
2021-06-07,MHN Roxbury Community,1,0,6,2021,0,train,,,,
2021-06-13,MHN Roxbury Community,1,6,6,2021,1,train,,,,
2021-06-14,MHN Roxbury Community,1,0,6,2021,0,train,,,,
2021-06-18,MHN Roxbury Community,1,4,6,2021,0,train,,,,
2021-06-19,MHN Roxbury Community,1,5,6,2021,1,train,,,,
2021-06-21,MHN Roxbury Community,1,0,6,2021,0,train,,,,
2021-06-22,MHN Roxbury Community,1,1,6,2021,0,train,,,,
2021-06-23,MHN Roxbury Community,1,2,6,2021,0,train,,,,
2021-06-24,MHN Roxbury Community,2,3,6,2021,0,train,,,,
2021-07-01,MHN Roxbury Community,1,3,7,2021,0,train,,,,
2021-07-05,MHN Roxbury Community,1,0,7,2021,0,train,,,,
2021-07-06,MHN Roxbury Community,2,1,7,2021,0,train,,,,
2021-07-17,MHN Roxbury Community,1,5,7,2021,1,train,,,,
2021-07-18,MHN Roxbury Community,1,6,7,2021,1,train,,,,
2021-07-20,MHN Roxbury Community,1,1,7,2021,0,train,,,,
2021-07-22,MHN Roxbury Community,1,3,7,2021,0,train,,,,
2021-07-24,MHN Roxbury Community,1,5,7,2021,1,train,,,,
2021-08-06,MHN Roxbury Community,1,4,8,2021,0,train,,,,
2021-08-11,MHN Roxbury Community,1,2,8,2021,0,train,,,,
2021-08-12,MHN Roxbury Community,1,3,8,2021,0,train,,,,
2021-08-16,MHN Roxbury Community,1,0,8,2021,0,train,,,,
2021-08-17,MHN Roxbury Community,1,1,8,2021,0,train,,,,
2021-08-19,MHN Roxbury Community,1,3,8,2021,0,train,,,,
2021-08-25,MHN Roxbury Community,1,2,8,2021,0,train,,,,
2021-08-28,MHN Roxbury Community,1,5,8,2021,1,train,,,,
2021-08-31,MHN Roxbury Community,1,1,8,2021,0,train,,,,
2021-09-02,MHN Roxbury Community,2,3,9,2021,0,train,,,,
2021-09-03,MHN Roxbury Community,1,4,9,2021,0,train,,,,
2021-09-04,MHN Roxbury Community,1,5,9,2021,1,train,,,,
2021-09-07,MHN Roxbury Community,1,1,9,2021,0,train,,,,
2021-09-14,MHN Roxbury Community,1,1,9,2021,0,train,,,,
2021-09-15,MHN Roxbury Community,1,2,9,2021,0,train,,,,
2021-09-17,MHN Roxbury Community,1,4,9,2021,0,train,,,,
2021-09-19,MHN Roxbury Community,1,6,9,2021,1,train,,,,
2021-09-22,MHN Roxbury Community,1,2,9,2021,0,train,,,,
2021-09-24,MHN Roxbury Community,1,4,9,2021,0,train,,,,
2021-09-27,MHN Roxbury Community,1,0,9,2021,0,train,,,,
2021-09-30,MHN Roxbury Community,1,3,9,2021,0,train,,,,
2021-10-05,MHN Roxbury Community,2,1,10,2021,0,train,,,,
2021-10-13,MHN Roxbury Community,1,2,10,2021,0,train,,,,
2021-10-16,MHN Roxbury Community,1,5,10,2021,1,train,,,,
2021-10-17,MHN Roxbury Community,1,6,10,2021,1,train,,,,
2021-10-18,MHN Roxbury Community,1,0,10,2021,0,train,,,,
2021-10-19,MHN Roxbury Community,1,1,10,2021,0,train,,,,
2021-10-21,MHN Roxbury Community,1,3,10,2021,0,train,,,,
2021-10-22,MHN Roxbury Community,1,4,10,2021,0,train,,,,
2021-10-27,MHN Roxbury Community,1,2,10,2021,0,train,,,,
2021-10-28,MHN Roxbury Community,1,3,10,2021,0,train,,,,
2021-10-30,MHN Roxbury Community,1,5,10,2021,1,train,,,,
2021-11-02,MHN Roxbury Community,1,1,11,2021,0,train,,,,
2021-11-04,MHN Roxbury Community,1,3,11,2021,0,train,,,,
2021-11-05,MHN Roxbury Community,1,4,11,2021,0,train,,,,
2021-11-07,MHN Roxbury Community,1,6,11,2021,1,train,,,,
