date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_test_naive,ed_arrivals_pred_naive,ed_arrivals_test_ets,ed_arrivals_pred_ets
2020-01-01,MHN South Shore,1,2,1,2020,0,train,,,,
2020-01-08,MHN South Shore,1,2,1,2020,0,train,,,,
2020-01-09,MHN South Shore,1,3,1,2020,0,train,,,,
2020-01-10,MHN South Shore,1,4,1,2020,0,train,,,,
2020-01-11,MHN South Shore,1,5,1,2020,1,train,,,,
2020-01-13,MHN South Shore,2,0,1,2020,0,train,,,,
2020-01-14,MHN South Shore,1,1,1,2020,0,train,,,,
2020-01-15,MHN South Shore,1,2,1,2020,0,train,,,,
2020-01-16,MHN South Shore,1,3,1,2020,0,train,,,,
2020-01-17,MHN South Shore,2,4,1,2020,0,train,,,,
2020-01-18,MHN South Shore,3,5,1,2020,1,train,,,,
2020-01-24,MHN South Shore,1,4,1,2020,0,train,,,,
2020-01-26,MHN South Shore,1,6,1,2020,1,train,,,,
2020-01-28,MHN South Shore,1,1,1,2020,0,train,,,,
2020-01-29,MHN South Shore,1,2,1,2020,0,train,,,,
2020-01-31,MHN South Shore,1,4,1,2020,0,train,,,,
2020-02-04,MHN South Shore,1,1,2,2020,0,train,,,,
2020-02-05,MHN South Shore,2,2,2,2020,0,train,,,,
2020-02-09,MHN South Shore,1,6,2,2020,1,train,,,,
2020-02-15,MHN South Shore,2,5,2,2020,1,train,,,,
2020-02-19,MHN South Shore,1,2,2,2020,0,train,,,,
2020-02-26,MHN South Shore,2,2,2,2020,0,train,,,,
2020-02-27,MHN South Shore,1,3,2,2020,0,train,,,,
2020-03-03,MHN South Shore,1,1,3,2020,0,train,,,,
2020-03-06,MHN South Shore,2,4,3,2020,0,train,,,,
2020-03-13,MHN South Shore,1,4,3,2020,0,train,,,,
2020-03-17,MHN South Shore,1,1,3,2020,0,train,,,,
2020-03-18,MHN South Shore,1,2,3,2020,0,train,,,,
2020-03-26,MHN South Shore,1,3,3,2020,0,train,,,,
2020-04-09,MHN South Shore,1,3,4,2020,0,train,,,,
2020-04-11,MHN South Shore,1,5,4,2020,1,train,,,,
2020-04-14,MHN South Shore,1,1,4,2020,0,train,,,,
2020-04-16,MHN South Shore,2,3,4,2020,0,train,,,,
2020-04-19,MHN South Shore,1,6,4,2020,1,train,,,,
2020-04-21,MHN South Shore,1,1,4,2020,0,train,,,,
2020-04-22,MHN South Shore,1,2,4,2020,0,train,,,,
2020-04-27,MHN South Shore,1,0,4,2020,0,train,,,,
2020-04-30,MHN South Shore,1,3,4,2020,0,train,,,,
2020-05-08,MHN South Shore,1,4,5,2020,0,train,,,,
2020-05-11,MHN South Shore,1,0,5,2020,0,train,,,,
2020-05-12,MHN South Shore,2,1,5,2020,0,train,,,,
2020-05-14,MHN South Shore,1,3,5,2020,0,train,,,,
2020-05-15,MHN South Shore,1,4,5,2020,0,train,,,,
2020-05-21,MHN South Shore,1,3,5,2020,0,train,,,,
2020-05-22,MHN South Shore,2,4,5,2020,0,train,,,,
2020-05-25,MHN South Shore,1,0,5,2020,0,train,,,,
2020-05-28,MHN South Shore,1,3,5,2020,0,train,,,,
2020-05-29,MHN South Shore,1,4,5,2020,0,train,,,,
2020-05-31,MHN South Shore,2,6,5,2020,1,train,,,,
2020-06-04,MHN South Shore,1,3,6,2020,0,train,,,,
