date,hospital,ed_arrivals,day_of_week,month,year,is_weekend,set,ed_arrivals_train,ed_arrivals_test,ed_arrivals_pred
2020-01-02,MHN Boston General,1,3,1,2020,0,train,1.0,,
2020-01-12,MHN Boston General,1,6,1,2020,1,train,1.0,,
2020-01-14,MHN Boston General,1,1,1,2020,0,train,1.0,,
2020-01-16,MHN Boston General,3,3,1,2020,0,train,3.0,,
2020-01-19,MHN Boston General,1,6,1,2020,1,train,1.0,,
2020-01-26,MHN Boston General,1,6,1,2020,1,train,1.0,,
2020-01-30,MHN Boston General,3,3,1,2020,0,train,3.0,,
2020-02-02,MHN Boston General,1,6,2,2020,1,train,1.0,,
2020-02-05,MHN Boston General,1,2,2,2020,0,train,1.0,,
2020-02-12,MHN Boston General,1,2,2,2020,0,train,1.0,,
2020-02-16,MHN Boston General,2,6,2,2020,1,train,2.0,,
2020-02-22,MHN Boston General,2,5,2,2020,1,train,2.0,,
2020-02-24,MHN Boston General,1,0,2,2020,0,train,1.0,,
2020-02-25,MHN Boston General,1,1,2,2020,0,train,1.0,,
2020-02-29,MHN Boston General,2,5,2,2020,1,train,2.0,,
2020-03-02,MHN Boston General,1,0,3,2020,0,train,1.0,,
2020-03-03,MHN Boston General,1,1,3,2020,0,train,1.0,,
2020-03-04,MHN Boston General,1,2,3,2020,0,train,1.0,,
2020-03-06,MHN Boston General,1,4,3,2020,0,train,1.0,,
2020-03-07,MHN Boston General,1,5,3,2020,1,train,1.0,,
2020-03-08,MHN Boston General,1,6,3,2020,1,train,1.0,,
2020-03-10,MHN Boston General,1,1,3,2020,0,train,1.0,,
2020-03-14,MHN Boston General,1,5,3,2020,1,train,1.0,,
2020-03-17,MHN Boston General,1,1,3,2020,0,train,1.0,,
2020-03-22,MHN Boston General,2,6,3,2020,1,train,2.0,,
2020-03-24,MHN Boston General,1,1,3,2020,0,train,1.0,,
2020-03-26,MHN Boston General,1,3,3,2020,0,train,1.0,,
2020-03-31,MHN Boston General,1,1,3,2020,0,train,1.0,,
2020-04-01,MHN Boston General,2,2,4,2020,0,train,2.0,,
2020-04-04,MHN Boston General,2,5,4,2020,1,train,2.0,,
2020-04-05,MHN Boston General,2,6,4,2020,1,train,2.0,,
2020-04-06,MHN Boston General,1,0,4,2020,0,train,1.0,,
2020-04-11,MHN Boston General,1,5,4,2020,1,train,1.0,,
2020-04-15,MHN Boston General,1,2,4,2020,0,train,1.0,,
2020-04-16,MHN Boston General,1,3,4,2020,0,train,1.0,,
2020-04-17,MHN Boston General,2,4,4,2020,0,train,2.0,,
