feature,importance
charlson_comorbidity_index,0.24637092714280465
abnormal_lab_ratio,0.05307115353667785
insurance_paid_usd,0.044548584743457686
drg_code,0.04404415883632069
total_charges_usd,0.04208998794425966
age_at_admission,0.04168492225605794
age,0.040984041701233535
prior_admissions_all,0.0374448440359965
num_lab_results,0.03166655551192489
prior_admissions_365d,0.03057182250250797
mean_news2,0.02847216257732623
num_high_labs,0.026969145152119144
length_of_stay_days,0.02259709883732796
num_abnormal_labs,0.022134441955532626
prior_admissions_180d,0.02035158512825088
discharge_month,0.01908686234817868
admission_month,0.01900384013852243
max_news2,0.017429840756063696
social_support_score,0.017263315188347336
num_low_labs,0.01658460421122402
num_procedures,0.01592709473497835
num_unique_medications,0.015346286875828646
num_medications,0.014894921954950908
admission_dow,0.013527672890765613
high_news2_count,0.013291192135388
num_prior_admissions,0.012934055817299665
num_vitals_records,0.0125144993918604
discharge_dow,0.01247672332687436
num_poa_diagnoses,0.011894685487829945
num_unique_lab_tests,0.010491521595474064
prior_ed_visits_365d,0.009289417314135564
icu_days,0.008582883424969368
num_diagnoses,0.007999497449628329
prior_ed_visits_180d,0.005192586311735791
surgery_performed,0.003494833052968197
discharged_home_flag,0.0032037534541858406
weekend_admission,0.002450382031989751
icu_admitted,0.002136133103229947
weekend_discharge,0.001981965141772871
