feature,importance
charlson_comorbidity_index,0.15154603
num_high_labs,0.026615767
num_diagnoses,0.026044207
prior_ed_visits_365d,0.025712198
length_of_stay_days,0.02568934
icu_days,0.025673825
prior_admissions_365d,0.02537049
prior_admissions_all,0.025063876
admission_month,0.024939459
num_lab_results,0.02473938
drg_code,0.024649952
age,0.024538308
insurance_paid_usd,0.024499308
admission_dow,0.02441267
max_news2,0.024366736
discharge_month,0.024282672
mean_news2,0.02393949
high_news2_count,0.023846751
discharge_dow,0.023620453
total_charges_usd,0.023460273
social_support_score,0.02345055
num_low_labs,0.023365071
prior_ed_visits_180d,0.023133796
icu_admitted,0.023071537
abnormal_lab_ratio,0.023004575
age_at_admission,0.022787943
num_abnormal_labs,0.022680694
num_vitals_records,0.02259756
num_procedures,0.022423016
num_unique_lab_tests,0.022401152
surgery_performed,0.022326503
num_medications,0.022046486
discharged_home_flag,0.021916898
prior_admissions_180d,0.021416506
num_prior_admissions,0.020805672
num_unique_medications,0.020231036
num_poa_diagnoses,0.019329838
weekend_discharge,0.0
weekend_admission,0.0
